country, category, date, confirmed, probable, suspected, total
"Guinea", "cases", "2014-03-31", 24, 78, 22, 0 
"Guinea", "deaths", "2014-03-31", 13, 67, 0, 0 
"Guinea", "cases", "2014-04-01", 35, 92, 0, 0 
"Guinea", "deaths", "2014-04-01", 13, 70, 0, 0 
"Guinea", "cases", "2014-04-04", 54, 89, 0, 0 
"Guinea", "deaths", "2014-04-04", 16, 65, 5, 0 
"Guinea", "cases", "2014-04-07", 54, 97, 0, 0 
"Guinea", "deaths", "2014-04-07", 16, 74, 5, 0 
"Guinea", "cases", "2014-04-09", 66, 87, 4, 0 
"Guinea", "deaths", "2014-04-09", 24, 72, 5, 0 
"Guinea", "cases", "2014-04-11", 71, 34, 54, 0 
"Guinea", "deaths", "2014-04-11", 42, 0, 64, 0 
"Guinea", "cases", "2014-04-16", 101, 43, 53, 0 
"Guinea", "deaths", "2014-04-16", 56, 33, 33, 0 
"Guinea", "cases", "2014-04-17", 109, 41, 53, 0 
"Guinea", "deaths", "2014-04-17", 61, 34, 34, 0 
"Guinea", "cases", "2014-04-20", 112, 41, 55, 0 
"Guinea", "deaths", "2014-04-20", 69, 34, 33, 0 
"Guinea", "cases", "2014-04-23", 115, 42, 61, 0 
"Guinea", "deaths", "2014-04-23", 72, 34, 35, 0 
"Guinea", "cases", "2014-04-26", 121, 41, 62, 0 
"Guinea", "deaths", "2014-04-26", 74, 34, 35, 0 
"Guinea", "cases", "2014-05-01", 127, 44, 55, 0 
"Guinea", "deaths", "2014-05-01", 81, 34, 34, 0 
"Guinea", "cases", "2014-05-03", 127, 49, 55, 0 
"Guinea", "deaths", "2014-05-03", 82, 39, 34, 0 
"Guinea", "cases", "2014-05-05", 127, 49, 55, 0 
"Guinea", "deaths", "2014-05-05", 83, 40, 34, 0 
"Guinea", "cases", "2014-05-07", 129, 49, 58, 0 
"Guinea", "deaths", "2014-05-07", 84, 40, 34, 0 
"Guinea", "cases", "2014-05-12", 138, 67, 43, 0 
"Guinea", "deaths", "2014-05-12", 92, 57, 22, 0 
"Guinea", "cases", "2014-05-27", 163, 66, 44, 0 
"Guinea", "deaths", "2014-05-27", 103, 56, 23, 0 
"Guinea", "cases", "2014-05-28", 172, 71, 48, 0 
"Guinea", "deaths", "2014-05-28", 108, 62, 23, 0 
"Guinea", "cases", "2014-06-01", 193, 80, 55, 0 
"Guinea", "deaths", "2014-06-01", 0, 0, 0, 208 
"Guinea", "cases", "2014-06-03", 207, 81, 56, 0 
"Guinea", "deaths", "2014-06-03", 0, 0, 0, 215 
"Guinea", "cases", "2014-06-05", 210, 83, 58, 0 
"Guinea", "deaths", "2014-06-05", 0, 0, 0, 226 
"Guinea", "cases", "2014-06-16", 254, 88, 56, 0 
"Guinea", "deaths", "2014-06-16", 0, 0, 0, 264 
"Guinea", "cases", "2014-06-18", 258, 88, 44, 0 
"Guinea", "deaths", "2014-06-18", 0, 0, 0, 267 
"Guinea", "cases", "2014-06-20", 260, 87, 43, 0 
"Guinea", "deaths", "2014-06-20", 0, 0, 0, 270 
"Guinea", "cases", "2014-06-30", 293, 88, 32, 0 
"Guinea", "deaths", "2014-06-30", 193, 82, 28, 0 
"Guinea", "cases", "2014-07-02", 292, 100, 20, 0 
"Guinea", "deaths", "2014-07-02", 194, 94, 17, 0 
"Guinea", "cases", "2014-07-06", 294, 96, 18, 0 
"Guinea", "deaths", "2014-07-06", 195, 96, 16, 0 
"Guinea", "cases", "2014-07-08", 296, 96, 17, 0 
"Guinea", "deaths", "2014-07-08", 197, 96, 16, 0 
"Guinea", "cases", "2014-07-12", 297, 92, 17, 0 
"Guinea", "deaths", "2014-07-12", 198, 92, 14, 0 
"Guinea", "cases", "2014-07-14", 301, 95, 15, 0 
"Guinea", "deaths", "2014-07-14", 203, 95, 12, 0 
"Guinea", "cases", "2014-07-17", 301, 95, 14, 0 
"Guinea", "deaths", "2014-07-17", 203, 95, 12, 0 
"Guinea", "cases", "2014-07-20", 304, 98, 13, 0 
"Guinea", "deaths", "2014-07-20", 204, 98, 12, 0 
"Guinea", "cases", "2014-07-23", 311, 99, 17, 0 
"Guinea", "deaths", "2014-07-23", 208, 99, 12, 0 
"Guinea", "cases", "2014-07-27", 336, 109, 15, 0 
"Guinea", "deaths", "2014-07-27", 218, 109, 12, 0 
"Guinea", "cases", "2014-08-01", 340, 133, 12, 0 
"Guinea", "deaths", "2014-08-01", 223, 133, 2, 0 
"Guinea", "cases", "2014-08-04", 351, 133, 11, 0 
"Guinea", "deaths", "2014-08-04", 228, 133, 2, 0 
"Guinea", "cases", "2014-08-06", 355, 133, 7, 0 
"Guinea", "deaths", "2014-08-06", 231, 133, 3, 0 
"Guinea", "cases", "2014-08-09", 362, 133, 11, 0 
"Guinea", "deaths", "2014-08-09", 238, 133, 2, 0 
"Guinea", "cases", "2014-08-11", 369, 133, 8, 0 
"Guinea", "deaths", "2014-08-11", 242, 133, 2, 0 
"Guinea", "cases", "2014-08-13", 376, 133, 10, 0 
"Guinea", "deaths", "2014-08-13", 245, 133, 2, 0 
"Guinea", "cases", "2014-08-18", 423, 140, 16, 0 
"Guinea", "deaths", "2014-08-18", 254, 140, 2, 0 
"Guinea", "cases", "2014-08-20", 443, 139, 25, 0 
"Guinea", "deaths", "2014-08-20", 264, 139, 3, 0 
"Guinea", "cases", "2014-08-26", 482, 141, 25, 0 
"Guinea", "deaths", "2014-08-26", 287, 141, 2, 0 
"Guinea", "cases", "2014-08-31", 579, 150, 42, 0 
"Guinea", "deaths", "2014-08-31", 343, 149, 2, 0 
"Guinea", "cases", "2014-09-06", 664, 151, 47, 0 
"Guinea", "deaths", "2014-09-06", 400, 151, 4, 0 
"Guinea", "cases", "2014-09-07", 678, 151, 32, 0 
"Guinea", "deaths", "2014-09-07", 403, 150, 4, 0 
"Guinea", "cases", "2014-09-13", 743, 162, 31, 0 
"Guinea", "deaths", "2014-09-13", 429, 162, 4, 0 
"Guinea", "cases", "2014-09-14", 750, 162, 30, 0 
"Guinea", "deaths", "2014-09-14", 435, 161, 5, 0 
"Guinea", "cases", "2014-09-20", 818, 162, 28, 0 
"Guinea", "deaths", "2014-09-20", 465, 162, 5, 0 
"Guinea", "cases", "2014-09-21", 832, 162, 28, 0 
"Guinea", "deaths", "2014-09-21", 468, 162, 5, 0 
"Guinea", "cases", "2014-09-23", 876, 162, 36, 0 
"Guinea", "deaths", "2014-09-23", 481, 162, 5, 0 
"Guinea", "cases", "2014-09-28", 950, 170, 37, 0 
"Guinea", "deaths", "2014-09-28", 535, 170, 5, 0 
"Guinea", "cases", "2014-10-01", 977, 177, 45, 0 
"Guinea", "deaths", "2014-10-01", 562, 177, 0, 0 
"Guinea", "cases", "2014-10-05", 1044, 180, 74, 0 
"Guinea", "deaths", "2014-10-05", 587, 179, 2, 0 
"Guinea", "cases", "2014-10-07", 1097, 180, 73, 0 
"Guinea", "deaths", "2014-10-07", 598, 180, 0, 0 
"Guinea", "cases", "2014-10-12", 1184, 190, 98, 0 
"Guinea", "deaths", "2014-10-12", 653, 190, 0, 0 
"Guinea", "cases", "2014-10-19", 1289, 193, 58, 0 
"Guinea", "deaths", "2014-10-19", 710, 193, 1, 0 
"Guinea", "cases", "2014-10-21", 1312, 194, 47, 0 
"Guinea", "deaths", "2014-10-21", 732, 194, 0, 0 
"Guinea", "cases", "2014-10-27", 1391, 199, 316, 0 
"Guinea", "deaths", "2014-10-27", 0, 0, 0, 997 
"Guinea", "cases", "2014-10-29", 1409, 204, 54, 0 
"Guinea", "deaths", "2014-10-29", 0, 0, 0, 1018 
"Guinea", "cases", "2014-11-02", 1457, 204, 70, 0 
"Guinea", "deaths", "2014-11-02", 837, 204, 0, 0 
"Guinea", "cases", "2014-11-03", 1479, 204, 77, 0 
"Guinea", "deaths", "2014-11-03", 850, 204, 0, 0 
"Guinea", "cases", "2014-11-09", 1612, 208, 58, 0 
"Guinea", "deaths", "2014-11-09", 934, 208, 0, 0 
"Guinea", "cases", "2014-11-11", 1647, 208, 64, 0 
"Guinea", "deaths", "2014-11-11", 958, 208, 0, 0 
"Guinea", "cases", "2014-11-16", 1698, 210, 63, 0 
"Guinea", "deaths", "2014-11-16", 982, 210, 0, 0 
"Guinea", "cases", "2014-11-18", 1745, 216, 86, 0 
"Guinea", "deaths", "2014-11-18", 998, 216, 0, 0 
"Guinea", "cases", "2014-11-23", 1850, 210, 74, 0 
"Guinea", "deaths", "2014-11-23", 1050, 210, 0, 0 
"Guinea", "cases", "2014-11-30", 1929, 210, 25, 0 
"Guinea", "deaths", "2014-11-30", 1117, 210, 0, 0 
"Guinea", "cases", "2014-12-07", 2051, 221, 20, 0 
"Guinea", "deaths", "2014-12-07", 1207, 221, 0, 0 
"Guinea", "cases", "2014-12-14", 2127, 263, 26, 0 
"Guinea", "deaths", "2014-12-14", 1262, 263, 0, 0 
"Guinea", "cases", "2014-12-21", 2284, 263, 50, 0 
"Guinea", "deaths", "2014-12-21", 1344, 263, 0, 0 
"Guinea", "cases", "2014-12-28", 2397, 276, 34, 0 
"Guinea", "deaths", "2014-12-28", 1433, 276, 0, 0 
"Liberia", "cases", "2014-03-28", 2, 0, 0, 0 
"Liberia", "deaths", "2014-03-28", 0, 0, 0, 0 
"Liberia", "cases", "2014-03-29", 2, 0, 0, 0 
"Liberia", "deaths", "2014-03-29", 1, 0, 0, 0 
"Liberia", "cases", "2014-03-31", 2, 6, 0, 0 
"Liberia", "deaths", "2014-03-31", 1, 1, 0, 0 
"Liberia", "cases", "2014-04-01", 2, 6, 0, 0 
"Liberia", "deaths", "2014-04-01", 1, 4, 0, 0 
"Liberia", "cases", "2014-04-04", 2, 0, 18, 0 
"Liberia", "deaths", "2014-04-04", 2, 0, 5, 0 
"Liberia", "cases", "2014-04-07", 5, 0, 16, 0 
"Liberia", "deaths", "2014-04-07", 5, 0, 5, 0 
"Liberia", "cases", "2014-04-09", 5, 0, 20, 0 
"Liberia", "deaths", "2014-04-09", 5, 0, 7, 0 
"Liberia", "cases", "2014-04-11", 6, 0, 20, 0 
"Liberia", "deaths", "2014-04-11", 6, 0, 7, 0 
"Liberia", "cases", "2014-04-16", 6, 0, 21, 0 
"Liberia", "deaths", "2014-04-16", 6, 0, 7, 0 
"Liberia", "cases", "2014-04-21", 6, 2, 26, 0 
"Liberia", "deaths", "2014-04-21", 6, 0, 5, 0 
"Liberia", "cases", "2014-04-24", 6, 2, 27, 0 
"Liberia", "deaths", "2014-04-24", 6, 0, 5, 0 
"Liberia", "cases", "2014-05-02", 6, 2, 5, 0 
"Liberia", "deaths", "2014-05-02", 6, 0, 5, 0 
"Liberia", "cases", "2014-06-16", 18, 8, 7, 0 
"Liberia", "deaths", "2014-06-16", 0, 0, 0, 24 
"Liberia", "cases", "2014-06-19", 24, 9, 8, 0 
"Liberia", "deaths", "2014-06-19", 0, 0, 0, 25 
"Liberia", "cases", "2014-06-22", 34, 10, 7, 0 
"Liberia", "deaths", "2014-06-22", 0, 0, 0, 34 
"Liberia", "cases", "2014-06-30", 52, 21, 34, 0 
"Liberia", "deaths", "2014-06-30", 33, 17, 15, 0 
"Liberia", "cases", "2014-07-02", 54, 24, 37, 0 
"Liberia", "deaths", "2014-07-02", 38, 22, 15, 0 
"Liberia", "cases", "2014-07-06", 63, 30, 38, 0 
"Liberia", "deaths", "2014-07-06", 41, 28, 15, 0 
"Liberia", "cases", "2014-07-08", 70, 32, 40, 0 
"Liberia", "deaths", "2014-07-08", 44, 28, 16, 0 
"Liberia", "cases", "2014-07-12", 70, 41, 61, 0 
"Liberia", "deaths", "2014-07-12", 48, 33, 24, 0 
"Liberia", "cases", "2014-07-14", 70, 42, 62, 0 
"Liberia", "deaths", "2014-07-14", 51, 34, 21, 0 
"Liberia", "cases", "2014-07-17", 76, 56, 64, 0 
"Liberia", "deaths", "2014-07-17", 54, 40, 22, 0 
"Liberia", "cases", "2014-07-20", 77, 68, 79, 0 
"Liberia", "deaths", "2014-07-20", 56, 44, 27, 0 
"Liberia", "cases", "2014-07-23", 84, 84, 81, 0 
"Liberia", "deaths", "2014-07-23", 60, 50, 19, 0 
"Liberia", "cases", "2014-07-27", 100, 128, 101, 0 
"Liberia", "deaths", "2014-07-27", 72, 62, 22, 0 
"Liberia", "cases", "2014-08-01", 129, 234, 105, 0 
"Liberia", "deaths", "2014-08-01", 117, 97, 41, 0 
"Liberia", "cases", "2014-08-04", 143, 252, 121, 0 
"Liberia", "deaths", "2014-08-04", 128, 110, 44, 0 
"Liberia", "cases", "2014-08-06", 148, 274, 132, 0 
"Liberia", "deaths", "2014-08-06", 132, 117, 45, 0 
"Liberia", "cases", "2014-08-09", 158, 306, 135, 0 
"Liberia", "deaths", "2014-08-09", 146, 125, 52, 0 
"Liberia", "cases", "2014-08-11", 166, 358, 146, 0 
"Liberia", "deaths", "2014-08-11", 149, 153, 53, 0 
"Liberia", "cases", "2014-08-13", 190, 423, 173, 0 
"Liberia", "deaths", "2014-08-13", 154, 190, 69, 0 
"Liberia", "cases", "2014-08-18", 242, 502, 228, 0 
"Liberia", "deaths", "2014-08-18", 212, 239, 125, 0 
"Liberia", "cases", "2014-08-20", 269, 554, 259, 0 
"Liberia", "deaths", "2014-08-20", 222, 267, 135, 0 
"Liberia", "cases", "2014-08-26", 322, 674, 382, 0 
"Liberia", "deaths", "2014-08-26", 225, 301, 168, 0 
"Liberia", "cases", "2014-08-31", 403, 815, 480, 0 
"Liberia", "deaths", "2014-08-31", 271, 373, 227, 0 
"Liberia", "cases", "2014-09-06", 634, 969, 443, 0 
"Liberia", "deaths", "2014-09-06", 508, 420, 296, 0 
"Liberia", "cases", "2014-09-07", 654, 974, 453, 0 
"Liberia", "deaths", "2014-09-07", 498, 428, 211, 0 
"Liberia", "cases", "2014-09-09", 790, 1078, 539, 0 
"Liberia", "deaths", "2014-09-09", 563, 472, 261, 0 
"Liberia", "cases", "2014-09-14", 812, 1233, 675, 0 
"Liberia", "deaths", "2014-09-14", 631, 518, 310, 0 
